input_file_path	location	detected_objects	detected_scores	detected_boxes	output_file_path
Netlight Berlin/1*6xdgByv6lemUQTPg4l8RkQ.jpeg	Berlin	[u'boat', u'person', u'bottle', u'person', u'person', u'chair', u'person', u'person', u'person', u'person', u'person', u'person', u'person', u'person', u'person', u'horse', u'person', u'person', u'person']	[0.58743465, 0.9876616, 0.9276077, 0.93917334, 0.97843593, 0.6534563, 0.7646939, 0.755988, 0.9947189, 0.93143904, 0.57418925, 0.79882085, 0.95994896, 0.70698833, 0.6496865, 0.0019531397, 0.9365201, 0.50530726, 0.95208395]	[(0.44707486033439636, 0.8738734126091003, 0.48606064915657043, 0.9969483017921448), (0.3622964024543762, 0.382661908864975, 0.9870477318763733, 0.5319991111755371), (0.8327964544296265, 0.10506013035774231, 0.9972754120826721, 0.13578636944293976), (0.035737764090299606, 0.473754346370697, 0.5676619410514832, 0.5779423713684082), (0.33951127529144287, 0.25550171732902527, 0.8528398275375366, 0.4285999834537506), (0.6353326439857483, 0.7324820756912231, 0.9947745203971863, 1.0), (0.14005213975906372, 0.6372838020324707, 0.3638106882572174, 0.7490915060043335), (0.06317353993654251, 0.536963701248169, 0.4443073272705078, 0.6318854093551636), (0.6071287393569946, 0.5217848420143127, 1.0, 0.6957645416259766), (0.31037288904190063, 0.6659039258956909, 0.6136296391487122, 0.790255606174469), (0.2979736626148224, 0.5915137529373169, 0.5306311249732971, 0.7193984389305115), (0.05491622909903526, 0.19245421886444092, 0.9460573792457581, 0.8884985446929932), (0.02420295774936676, 0.2477794587612152, 0.627155065536499, 0.3436667025089264), (0.13521753251552582, 0.33866655826568604, 0.4489157199859619, 0.4223848283290863), (0.10825961083173752, 0.39859944581985474, 0.4809977412223816, 0.49910804629325867), (0.6463390588760376, 0.7935292720794678, 0.9189995527267456, 0.9915025234222412), (0.0059062703512609005, 0.2298799753189087, 0.5711210370063782, 0.29212477803230286), (0.31128206849098206, 0.6248953342437744, 0.5781991481781006, 0.7641580104827881), (0.4021572172641754, 0.6036788821220398, 0.8989301919937134, 0.7114262580871582)]	Test_Output_Data/16xdgByv6lemUQTPg4l8RkQ-2019-08-27-103921.jpeg
Netlight Berlin/26156393_189128795007386_5213691698609127424_n.jpg	Berlin	[u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'person', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'dining table', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'banana', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'cake', u'bowl', u'person', u'wine glass', u'wine glass', u'wine glass', u'cup', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'toothbrush', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'person', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'person', u'wine glass', u'wine glass']	[0.00698615, 0.003705049, 0.0056924685, 0.11788947, 0.045126654, 0.9911574, 0.08674005, 0.0111427335, 0.092397325, 0.14628391, 0.72858614, 0.026953235, 0.004499068, 0.0027288052, 0.0034427082, 0.008148301, 0.0048857355, 0.006464465, 0.058267735, 0.002592047, 0.069953345, 0.047467988, 0.20982102, 0.0337586, 0.10673723, 0.018076146, 0.92540216, 0.009620948, 0.007633679, 0.038884643, 0.010910785, 0.002947655, 0.09429259, 0.062283985, 0.04712862, 0.7764179, 0.50175977, 0.54248744, 0.9716214, 0.0039282027, 0.006794096, 0.0031849062, 0.9628944, 0.28602833, 0.034861233, 0.03023807, 0.0039610113, 0.8758905, 0.025770402, 0.015113367, 0.0041209287, 0.033247847, 0.003391309, 0.98555803, 0.030920628, 0.02998946, 0.013764002, 0.027105944, 0.02702624, 0.004766008, 0.06908215, 0.9170577, 0.013633229, 0.12761962]	[(0.7125445604324341, 0.3776354193687439, 0.7817249894142151, 0.43317872285842896), (0.6687570214271545, 0.3539358973503113, 0.7363734245300293, 0.4190968871116638), (0.7204577326774597, 0.5167515277862549, 0.8081121444702148, 0.5600610375404358), (0.6953231692314148, 0.4627900719642639, 0.7494086623191833, 0.5174961090087891), (0.7025309205055237, 0.2118370085954666, 0.9875618815422058, 0.8114793300628662), (0.3240022361278534, 0.02479039505124092, 0.6411487460136414, 0.24341441690921783), (0.713025689125061, 0.41245001554489136, 0.8175935745239258, 0.44987279176712036), (0.8203513622283936, 0.8458921909332275, 0.9464927315711975, 0.9106125831604004), (0.7119432687759399, 0.5679379105567932, 0.7890419960021973, 0.6468273401260376), (0.7169358730316162, 0.32985514402389526, 0.9775137305259705, 0.42976585030555725), (0.6206074953079224, 0.07027100026607513, 1.0, 1.0), (0.6825060248374939, 0.370395690202713, 0.9732273817062378, 0.9567986130714417), (0.7152191400527954, 0.5245447158813477, 0.8263358473777771, 0.611207902431488), (0.6997125744819641, 0.9259340763092041, 0.8900882005691528, 0.9905821084976196), (0.6815996766090393, 0.35705670714378357, 0.7645350694656372, 0.416027307510376), (0.7187590003013611, 0.48380976915359497, 0.8303369879722595, 0.5297034382820129), (0.6909513473510742, 0.3569343388080597, 0.7926960587501526, 0.40831512212753296), (0.7222392559051514, 0.4827960729598999, 0.8718297481536865, 0.5462163090705872), (0.7040045261383057, 0.45533356070518494, 0.8026799559593201, 0.5143784880638123), (0.694850504398346, 0.3745220899581909, 0.7433997988700867, 0.4282812476158142), (0.7202321290969849, 0.36282822489738464, 0.8284079432487488, 0.42036718130111694), (0.7152641415596008, 0.5597988963127136, 0.9492864012718201, 0.6248889565467834), (0.7255259156227112, 0.580864429473877, 0.9649186134338379, 0.687558650970459), (0.7059992551803589, 0.5788068175315857, 0.7703225016593933, 0.6496027112007141), (0.7208407521247864, 0.3834727108478546, 0.8284631371498108, 0.44111475348472595), (0.5924431681632996, 0.006771453190594912, 0.8335966467857361, 0.09263624995946884), (0.029956361278891563, 0.38938403129577637, 0.37288421392440796, 0.5873801708221436), (0.7281709909439087, 0.3845541775226593, 0.9365917444229126, 0.4550475776195526), (0.6998916864395142, 0.3719589114189148, 0.8044598698616028, 0.42385533452033997), (0.7302448749542236, 0.35918596386909485, 0.9356752634048462, 0.4328104853630066), (0.7161056399345398, 0.4472633898258209, 0.852556049823761, 0.5069586038589478), (0.7041330337524414, 0.4774172604084015, 0.8011242151260376, 0.5392383337020874), (0.7094959616661072, 0.5164728164672852, 0.9721664786338806, 0.6317362785339355), (0.7241383790969849, 0.4385569393634796, 0.8165938258171082, 0.49084872007369995), (0.7228713631629944, 0.33802828192710876, 0.9442250728607178, 0.40553364157676697), (0.7312350869178772, 0.6160164475440979, 0.9779947400093079, 0.7006229758262634), (0.8004725575447083, 0.7798287272453308, 0.8529374599456787, 0.8372728824615479), (0.8337695598602295, 0.929196298122406, 0.9140063524246216, 1.0), (0.4259795844554901, 0.21428945660591125, 0.7025727033615112, 0.38982945680618286), (0.7213768362998962, 0.5360714197158813, 0.8581721186637878, 0.5884706377983093), (0.6882113814353943, 0.06196441873908043, 0.9900168180465698, 0.6172687411308289), (0.6773785352706909, 0.35667845606803894, 0.7211645841598511, 0.41609835624694824), (0.8224501013755798, 0.8487014174461365, 0.9389101266860962, 0.9147112369537354), (0.7201295495033264, 0.5677767992019653, 0.9228072166442871, 0.650153398513794), (0.745760440826416, 0.5384050011634827, 0.9831106662750244, 0.9232742786407471), (0.7220866680145264, 0.4254090487957001, 0.8681718111038208, 0.4809059798717499), (0.42270782589912415, 0.7760093212127686, 0.8505011200904846, 0.9755359292030334), (0.5226453542709351, 0.6782183647155762, 0.5849664211273193, 0.7754550576210022), (0.6819092035293579, 0.9099544286727905, 0.8686839938163757, 0.9826025366783142), (0.7202274203300476, 0.5134819746017456, 0.843005359172821, 0.56617271900177), (0.6987795233726501, 0.4738721251487732, 0.7700417041778564, 0.5236449837684631), (0.7163746356964111, 0.556891679763794, 0.8246266841888428, 0.6416782736778259), (0.4803970456123352, 0.06098587065935135, 0.9725642204284668, 0.9185801148414612), (0.312658429145813, 0.340675950050354, 0.7072170972824097, 0.5666211843490601), (0.7150238156318665, 0.5271154046058655, 0.9276347160339355, 0.6017746925354004), (0.7383793592453003, 0.4926581382751465, 0.950727641582489, 0.5758880972862244), (0.7197014093399048, 0.3987782895565033, 0.8922324776649475, 0.45124298334121704), (0.7822652459144592, 0.3711634874343872, 1.0, 0.5688020586967468), (0.7165929675102234, 0.352531760931015, 0.8381403088569641, 0.40475723147392273), (0.182827427983284, 0.07042864710092545, 0.9107233881950378, 0.9209786057472229), (0.7386320233345032, 0.4321325421333313, 0.9972788691520691, 0.5855549573898315), (0.3580230176448822, 0.5508614778518677, 0.796476423740387, 0.8142415285110474), (0.7307772040367126, 0.4992292523384094, 0.858575165271759, 0.5760844349861145), (0.7230366468429565, 0.42217427492141724, 0.8175451159477234, 0.46814748644828796)]	Test_Output_Data/26156393_189128795007386_5213691698609127424_n-2019-08-27-103943.jpg
Netlight Berlin/270x270-00001.jpg	Berlin	[u'horse', u'potted plant', u'person', u'person', u'person']	[0.0009280145, 0.696366, 0.98601365, 0.9977863, 0.9449701]	[(0.5910468101501465, 0.3281480371952057, 0.9761864542961121, 0.9938368797302246), (0.25314849615097046, 0.7195884585380554, 0.6188691258430481, 1.0), (0.5316107869148254, 0.32516664266586304, 0.9787819385528564, 0.9766296744346619), (0.04169606789946556, 0.03523768112063408, 1.0, 0.9378074407577515), (0.28495195508003235, 0.16814076900482178, 0.9555269479751587, 0.9593096375465393)]	Test_Output_Data/270x270-00001-2019-08-27-103957.jpg
Netlight Berlin/40838710201_ed5415e372_o-320x320.jpg	Berlin	[u'person', u'cell phone', u'person', u'person', u'person', u'wine glass', u'tie']	[0.9858964, 0.7579748, 0.99669975, 0.9863962, 0.99560827, 0.0008439464, 0.5600979]	[(0.2507406771183014, 0.7629913687705994, 0.9964865446090698, 1.0), (0.8738125562667847, 0.4430963099002838, 0.9069357514381409, 0.5587329268455505), (0.3060671091079712, 0.0, 1.0, 0.2818550169467926), (0.30620384216308594, 0.5240028500556946, 0.9882331490516663, 0.8365589380264282), (0.36995217204093933, 0.22322556376457214, 0.9953866004943848, 0.6191735863685608), (0.6786998510360718, 0.9639860391616821, 0.7329272627830505, 0.9907464981079102), (0.5636528730392456, 0.06025327369570732, 0.9961673021316528, 0.15243756771087646)]	Test_Output_Data/40838710201_ed5415e372_o-320x320-2019-08-27-104011.jpg
Netlight Berlin/44577974_171363317146412_5644979189414056825_n.jpg	Berlin	[u'wine glass', u'wine glass', u'wine glass', u'wine glass', u'remote', u'wine glass', u'wine glass', u'wine glass', u'person', u'wine glass', u'person', u'person', u'wine glass', u'wine glass', u'person', u'wine glass', u'wine glass', u'person', u'handbag']	[0.017613342, 0.0023430665, 0.000862899, 0.0101331705, 0.55921596, 0.0035421883, 0.006631968, 0.0008703278, 0.9992818, 0.0011481794, 0.9982015, 0.5134537, 0.0011346672, 0.00089178764, 0.94571656, 0.0049324003, 0.005182668, 0.6627227, 0.54727435]	[(0.5429016351699829, 0.6489383578300476, 0.8389120697975159, 0.731508195400238), (0.5626417994499207, 0.6898918747901917, 0.7367057204246521, 0.7292150259017944), (0.5586639642715454, 0.7084101438522339, 0.734498918056488, 0.74888676404953), (0.7317621111869812, 0.6484950184822083, 0.9124025702476501, 0.689662754535675), (0.6544594764709473, 0.40453237295150757, 0.7147462368011475, 0.4386131167411804), (0.33678343892097473, 0.6371300220489502, 0.4346090853214264, 0.679297149181366), (0.5892423391342163, 0.6707170009613037, 0.7528870701789856, 0.7160608172416687), (0.6672897934913635, 0.23448233306407928, 0.9671571850776672, 0.3106703758239746), (0.19010226428508759, 0.1932932585477829, 0.9982514977455139, 0.5859829783439636), (0.42215803265571594, 0.3938683569431305, 0.5191810727119446, 0.4622514545917511), (0.13780151307582855, 0.6281925439834595, 0.985508143901825, 0.9870049357414246), (0.12384839355945587, 0.7027575969696045, 0.7980167865753174, 0.973732590675354), (0.615593671798706, 0.6545888781547546, 0.7434350848197937, 0.7138404250144958), (0.5561503171920776, 0.6993138194084167, 0.6910351514816284, 0.7618594765663147), (0.11260808259248734, 0.5200100541114807, 0.9765877723693848, 0.7254767417907715), (0.8197135925292969, 0.6471167802810669, 0.9114435315132141, 0.6768333911895752), (0.8369088172912598, 0.6497765183448792, 0.8992503881454468, 0.6795457005500793), (0.1967345029115677, 0.5559017062187195, 0.9733772873878479, 0.8396152853965759), (0.6452605128288269, 0.2245568037033081, 0.9468919038772583, 0.3205588757991791)]	Test_Output_Data/44577974_171363317146412_5644979189414056825_n-2019-08-27-104026.jpg
Netlight Berlin/58809698_749007672168570_3776661344950188760_n.jpg	Berlin	[u'chair', u'chair', u'chair', u'person', u'horse', u'chair', u'potted plant', u'person', u'chair', u'tv', u'chair', u'chair', u'person']	[0.7830273, 0.7095043, 0.8662795, 0.985338, 0.905315, 0.6756063, 0.82370085, 0.9768826, 0.75571114, 0.5613233, 0.6105285, 0.63446563, 0.96975607]	[(0.5466272830963135, 0.9273548722267151, 0.8234415054321289, 0.9958920478820801), (0.5681740641593933, 0.5358551144599915, 0.9549750089645386, 0.8840678930282593), (0.4032314121723175, 0.641169548034668, 0.8245062232017517, 0.9647848606109619), (0.3782201111316681, 0.16082680225372314, 0.9941347241401672, 0.4141504168510437), (0.0767318457365036, 0.4225124716758728, 0.7450847625732422, 0.5604585409164429), (0.43727168440818787, 0.5684413313865662, 0.9339581727981567, 0.937278687953949), (0.327240914106369, 0.9136183857917786, 0.47763073444366455, 0.9977789521217346), (0.45314204692840576, 0.5630861520767212, 0.9958221912384033, 0.8993484973907471), (0.5725383162498474, 0.09301137179136276, 0.9808985590934753, 0.303697794675827), (0.1717149019241333, 0.8122633695602417, 0.3603768050670624, 0.9949011206626892), (0.6764227747917175, 0.556205689907074, 0.9660385251045227, 0.7477502822875977), (0.5476285219192505, 0.09949059039354324, 0.966576874256134, 0.41336560249328613), (0.161550372838974, 0.5244905352592468, 0.6414456367492676, 0.685279905796051)]	Test_Output_Data/58809698_749007672168570_3776661344950188760_n-2019-08-27-104041.jpg
Netlight Berlin/59776771_2157942760989198_697786279443554434_n.jpg	Berlin	[u'person', u'person', u'chair', u'person', u'person', u'person', u'person', u'person', u'person', u'horse', u'person', u'person', u'person', u'laptop', u'person', u'person', u'person']	[0.63750815, 0.9400675, 0.5018761, 0.80612594, 0.7725869, 0.9750992, 0.93212897, 0.72676325, 0.8365505, 0.027526643, 0.86998755, 0.6849849, 0.6222927, 0.85241014, 0.95859915, 0.65441597, 0.89471555]	[(0.5882658362388611, 0.5999460816383362, 0.9942114353179932, 0.9130467772483826), (0.5033783316612244, 0.1612020879983902, 0.8110945224761963, 0.36889681220054626), (0.7505946755409241, 0.7308504581451416, 0.9813920259475708, 0.9911853075027466), (0.8846713304519653, 0.3704183101654053, 0.9941702485084534, 0.6536543965339661), (0.19872060418128967, 0.9391857981681824, 0.3645552098751068, 1.0), (0.512122631072998, 0.0013274765806272626, 0.9897171258926392, 0.2895970344543457), (0.2623048424720764, 0.7691854238510132, 0.6254896521568298, 0.9303479194641113), (0.6597126126289368, 0.4980153441429138, 1.0, 0.8064852952957153), (0.47195762395858765, 0.8830744624137878, 0.7802276015281677, 0.99674391746521), (0.49231451749801636, 0.297717422246933, 0.5334427356719971, 0.4186265468597412), (0.49884137511253357, 0.5381956696510315, 0.7177987694740295, 0.7279961705207825), (0.48448050022125244, 0.43051576614379883, 0.7243315577507019, 0.5710445046424866), (0.5041967034339905, 0.2824482321739197, 0.7405442595481873, 0.438050240278244), (0.3669523298740387, 0.9036185145378113, 0.4514809250831604, 0.9964328408241272), (0.560413122177124, 0.25352010130882263, 0.9995793700218201, 0.5437808632850647), (0.5289872884750366, 0.6585698127746582, 0.6934904456138611, 0.7789772152900696), (0.5876786112785339, 0.7416771650314331, 0.9896136522293091, 0.9895952343940735)]	Test_Output_Data/59776771_2157942760989198_697786279443554434_n-2019-08-27-104056.jpg
Netlight Berlin/59950020_2550921485135180_9068306503769405663_n.jpg	Berlin	[u'person', u'bottle', u'book', u'person', u'bottle', u'person', u'bench', u'person', u'person', u'person', u'person', u'person', u'person', u'person', u'bottle', u'wine glass', u'person', u'wine glass', u'cell phone', u'person']	[0.7453809, 0.92592376, 0.54301435, 0.9532291, 0.79748446, 0.9690638, 0.6072825, 0.8731719, 0.88736534, 0.80263865, 0.97236234, 0.86521554, 0.93732953, 0.99649245, 0.9451087, 0.0026676913, 0.9815607, 0.00266511, 0.67987365, 0.9913886]	[(0.8076947927474976, 0.11392907053232193, 0.9938413500785828, 0.28648385405540466), (0.6001145839691162, 0.4825684726238251, 0.7702428102493286, 0.5121922492980957), (0.21462537348270416, 0.12038251012563705, 0.3301050662994385, 0.19381748139858246), (0.7675542235374451, 0.29132649302482605, 0.994120180606842, 0.4755531847476959), (0.6050400733947754, 0.7297993898391724, 0.7502042651176453, 0.7576540112495422), (0.36420461535453796, 0.002086089691147208, 0.7685779929161072, 0.21878132224082947), (0.7340074181556702, 0.5857032537460327, 0.9986051917076111, 1.0), (0.3372470438480377, 0.06637557595968246, 0.7654581069946289, 0.28291359543800354), (0.41583648324012756, 0.8261753916740417, 0.7406498193740845, 0.89760422706604), (0.3285006880760193, 0.001856152550317347, 0.4845765233039856, 0.06659221649169922), (0.330416738986969, 0.14335022866725922, 0.764581561088562, 0.37365150451660156), (0.2784484028816223, 0.14684699475765228, 0.5456631183624268, 0.25280189514160156), (0.33890560269355774, 0.3099130690097809, 0.7416487336158752, 0.41620051860809326), (0.30027613043785095, 0.3731493055820465, 0.7699598073959351, 0.6504391431808472), (0.6055878400802612, 0.5359406471252441, 0.7593305110931396, 0.5702429413795471), (0.6348037123680115, 0.6891353130340576, 0.74503493309021, 0.7298409938812256), (0.3051050305366516, 0.8864407539367676, 0.7775511145591736, 0.9994508028030396), (0.6161555051803589, 0.7280892729759216, 0.7446479201316833, 0.7573344111442566), (0.5630087852478027, 0.2695561647415161, 0.6152874231338501, 0.30737778544425964), (0.419936865568161, 0.633560061454773, 0.8889961838722229, 0.8905041217803955)]	Test_Output_Data/59950020_2550921485135180_9068306503769405663_n-2019-08-27-104110.jpg
Netlight Berlin/5c8e87efd81ec119c3618e0e_Berlin-Talent-Summit-A6-5.jpg	Berlin	[u'umbrella', u'person', u'person', u'person']	[0.5170764, 0.9389901, 0.988405, 0.8345863]	[(0.14885208010673523, 0.7615818977355957, 0.32518279552459717, 0.8776833415031433), (0.05445363372564316, 0.36238518357276917, 0.7208096385002136, 0.752616822719574), (0.06436040252447128, 0.7634005546569824, 1.0, 0.9999999403953552), (0.07572533935308456, 0.5157537460327148, 0.31818416714668274, 0.665834903717041)]	Test_Output_Data/5c8e87efd81ec119c3618e0e_Berlin-Talent-Summit-A6-5-2019-08-27-104126.jpg
Netlight Berlin/600x600bb.jpg	Berlin	[u'wine glass']	[2.4201774e-05]	[(0.3356226682662964, 0.37788453698158264, 0.6343236565589905, 0.6320945024490356)]	Test_Output_Data/600x600bb-2019-08-27-104142.jpg
